"Especie","longitude","latitude"
"AMZ_Alouatta_belzebul",-50.405405,-2.365105
"AMZ_Alouatta_belzebul",-48.060096,-1.967971
"AMZ_Alouatta_belzebul",-50.164386,-6.169889
"AMZ_Alouatta_belzebul",-50.118524,-6.024605
"AMZ_Alouatta_belzebul",-50.098166,-6.088576
"AMZ_Alouatta_belzebul",-50.048379,-6.073788
"AMZ_Alouatta_belzebul",-50.047341,-6.030504
"AMZ_Alouatta_belzebul",-50.02184,-6.380367
"AMZ_Alouatta_belzebul",-50.162015,-6.033841
"AMZ_Alouatta_belzebul",-50.197783,-6.002425
"AMZ_Alouatta_belzebul",-50.053493,-6.02993
"AMZ_Alouatta_belzebul",-48.6915,-7.1545
"AMZ_Alouatta_belzebul",-48.6915,-7.1545
"AMZ_Alouatta_belzebul",-46.5554,-2.5972
"AMZ_Alouatta_belzebul",-47.369032,-2.889455
"AMZ_Alouatta_belzebul",-48.003127,-4.678872
"AMZ_Alouatta_belzebul",-50.356854,-6.181357
"AMZ_Alouatta_belzebul",-48.952565,-7.025358
"AMZ_Alouatta_belzebul",-50.028684,-6.019721
"AMZ_Alouatta_belzebul",-50.098458,-6.058342
"AMZ_Alouatta_belzebul",-50.259916,-6.14844
"AMZ_Alouatta_belzebul",-48.250758,-7.274898
"AMZ_Alouatta_belzebul",-48.236852,-7.248744
"AMZ_Alouatta_belzebul",-49.318561,-5.060163
"AMZ_Alouatta_belzebul",-50.079724,-6.071133
"AMZ_Alouatta_belzebul",-50.115049,-6.14164
"AMZ_Alouatta_belzebul",-50.107859,-6.115528
"AMZ_Alouatta_belzebul",-50.076638,-6.050636
"AMZ_Alouatta_belzebul",-50.129455,-6.053434
"AMZ_Alouatta_belzebul",-47.972749,-3.606393
"AMZ_Alouatta_belzebul",-50.14112,-6.028177
"AMZ_Alouatta_belzebul",-50.085965,-6.002169
"AMZ_Alouatta_belzebul",-47.672301,-2.740781
"AMZ_Alouatta_belzebul",-50.090296,-6.100084
"AMZ_Alouatta_belzebul",-52.713748,-5.73748
"AMZ_Alouatta_belzebul",-52.434368,-9.313637
"AMZ_Alouatta_belzebul",-50.144403,-6.106967
"AMZ_Alouatta_belzebul",-49.926854,-6.632163
"AMZ_Alouatta_belzebul",-50.364449,-6.048154
"AMZ_Alouatta_belzebul",-47.434575,-3.517838
"AMZ_Alouatta_belzebul",-50.102052,-6.105402
"AMZ_Alouatta_belzebul",-47.663374,-5.066418
"AMZ_Alouatta_belzebul",-49.923887,-6.70592
"AMZ_Alouatta_belzebul",-50.0989,-6.157106
"AMZ_Alouatta_belzebul",-50.179862,-6.080732
"AMZ_Alouatta_belzebul",-50.146316,-6.172068
"AMZ_Alouatta_belzebul",-50.096702,-6.191785
"AMZ_Alouatta_belzebul",-51.134216,-6.738729
"AMZ_Alouatta_belzebul",-51.004749,-6.78016
"AMZ_Alouatta_belzebul",-50.07947,-6.117647
"AMZ_Alouatta_belzebul",-50.10199,-6.093857
"AMZ_Alouatta_belzebul",-49.869466,-6.082771
"AMZ_Alouatta_belzebul",-47.583122,-3.694185
"AMZ_Alouatta_belzebul",-47.78617,-5.111066
"AMZ_Alouatta_belzebul",-49.39136,-7.204697
"AMZ_Alouatta_belzebul",-50.080675,-6.012042
"AMZ_Alouatta_belzebul",-50.094927,-6.199042
"AMZ_Alouatta_belzebul",-50.038329,-6.17337
"AMZ_Alouatta_belzebul",-50.00886,-6.077655
"AMZ_Alouatta_belzebul",-50.42285,-6.174047
"AMZ_Alouatta_belzebul",-50.174138,-6.086754
"AMZ_Alouatta_belzebul",-50.020262,-6.100723
"AMZ_Alouatta_belzebul",-50.101429,-6.100395
"AMZ_Alouatta_belzebul",-50.034626,-6.181209
"AMZ_Alouatta_belzebul",-50.11266,-6.014189
"AMZ_Alouatta_belzebul",-50.335275,-6.064879
"AMZ_Alouatta_belzebul",-45.705163,-1.340068
"AMZ_Alouatta_belzebul",-50.335714,-6.129716
"AMZ_Alouatta_belzebul",-50.032092,-6.125471
"AMZ_Alouatta_belzebul",-50.118576,-6.137122
"AMZ_Alouatta_belzebul",-49.331682,-7.91322
"AMZ_Alouatta_belzebul",-50.196242,-6.08958
"AMZ_Alouatta_belzebul",-50.104348,-6.183135
"AMZ_Alouatta_belzebul",-50.177592,-6.184845
"AMZ_Alouatta_belzebul",-50.077626,-6.057462
"AMZ_Alouatta_belzebul",-47.682999,-4.865552
"AMZ_Alouatta_belzebul",-47.796365,-3.081522
"AMZ_Alouatta_belzebul",-50.089231,-6.070616
"AMZ_Alouatta_belzebul",-49.000531,-5.245206
"AMZ_Alouatta_belzebul",-50.098996,-6.076533
"AMZ_Alouatta_belzebul",-49.243184,-7.479883
"AMZ_Alouatta_belzebul",-49.60453,-5.838685
"AMZ_Alouatta_belzebul",-47.521303,-4.930047
"AMZ_Alouatta_belzebul",-50.218292,-6.306589
"AMZ_Alouatta_belzebul",-49.508777,-5.898354
"AMZ_Alouatta_belzebul",-50.02715,-9.361648
"AMZ_Alouatta_belzebul",-50.160613,-6.195285
"AMZ_Alouatta_belzebul",-50.010785,-6.125845
"AMZ_Alouatta_belzebul",-50.045162,-6.085498
"AMZ_Alouatta_belzebul",-50.074415,-6.040487
"AMZ_Alouatta_belzebul",-50.566262,-6.229706
"AMZ_Alouatta_belzebul",-46.887261,-3.667446
"AMZ_Alouatta_belzebul",-49.688828,-3.889363
"AMZ_Alouatta_belzebul",-49.837084,-6.149222
"AMZ_Alouatta_belzebul",-50.737098,-3.818671
"AMZ_Alouatta_belzebul",-50.245681,-6.036921
"AMZ_Alouatta_belzebul",-49.652238,-3.795483
"AMZ_Alouatta_belzebul",-48.889972,-5.756563
"AMZ_Alouatta_belzebul",-49.839525,-6.166422
